hour_of_day,total_events,views,carts,purchases,removals,conversion_rate,avg_purchase_value
0,1238834,1190504,37031,11299,0,0.91,309.21
1,2120165,2035440,67537,17188,0,0.81,283.29
2,4104848,3923123,140342,41383,0,1.01,267.03
3,6080468,5728677,259309,92482,0,1.52,283.37
4,7860236,7352560,365162,142514,0,1.81,286.13
5,8934184,8329962,433087,171135,0,1.92,291.40
6,9488841,8832965,469284,186592,0,1.97,294.42
7,9659971,8983784,482229,193958,0,2.01,296.55
8,9957281,9256352,495342,205587,0,2.06,302.03
9,9861444,9156371,493933,211140,0,2.14,308.03
10,9629324,8950570,477666,201088,0,2.09,308.04
11,9305219,8670293,450535,184391,0,1.98,310.32
12,9220238,8633256,417990,168992,0,1.83,309.59
13,10069879,9495191,411719,162969,0,1.62,304.83
14,11150482,10574041,416841,159600,0,1.43,299.10
15,11869761,11300986,417565,151210,0,1.27,291.63
16,12098535,11564432,394816,139287,0,1.15,289.87
17,11433534,10952520,353449,127565,0,1.12,292.30
18,8995433,8606749,296462,92222,0,1.03,313.52
19,6231858,5964762,199784,67312,0,1.08,321.20
20,3701205,3536947,123355,40903,0,1.11,338.34
21,2164840,2067402,72113,25325,0,1.17,348.26
22,1327060,1266696,43982,16382,0,1.23,353.37
23,989945,947990,30643,11312,0,1.14,339.24
